strain	row_ID	col_ID	OD	limit_check	format_check	target_OD	transfer_volume_required	transfer_max_volume_check	correction_factor_volume	transfer_volume	sum_of_volumes	total_volume_check	total_volume_correction_factor	mimimum_transfer_volume_check	total_volume_fail	mimimum_transfer_volume_fail	format_fail	limit_fail	transfer_volume_fail	correction_factor_combined	error_type
donor	E	1	0.1241	TRUE	TRUE	0.1	241.74053182917	TRUE	1	241.74053182917	277.62140732253204	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	E	2	0.1405	TRUE	TRUE	0.1	213.52313167259786	FALSE	0.8435	180.1067615658363	530.1067615658363	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.84	transfer_volume_fail
donor	E	3	0.1647	TRUE	TRUE	0.1	182.1493624772313	FALSE	0.49000000000000005	89.25318761384335	439.25318761384335	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.49	transfer_volume_fail
donor	E	4	0.1919	TRUE	TRUE	0.1	156.33142261594583	FALSE	0.4514999999999999	70.58363731109952	420.58363731109955	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.45	transfer_volume_fail
donor	E	5	0.1369	TRUE	TRUE	0.1	219.1380569758948	FALSE	0.27299999999999985	59.82468955441925	409.82468955441925	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.27	transfer_volume_fail
donor	E	6	0.15310000000000001	TRUE	TRUE	0.1	195.95035924232525	FALSE	0.1703333333333332	33.37687785760937	383.3768778576094	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.17	limit_fail
donor	E	7	0.16979999999999998	TRUE	TRUE	0.1	176.678445229682	FALSE	0.10616666666666656	18.757361601884554	368.75736160188455	TRUE	1	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	0.11	limit_fail
donor	E	8	0.208	TRUE	TRUE	0.1	144.23076923076923	FALSE	0.05483333333333321	7.908653846153829	357.9086538461538	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.05	limit_fail
donor	E	9	0.1957	TRUE	TRUE	0.1	153.29586101175266	FALSE	0.03266666666666655	5.007664793050569	355.0076647930506	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.03	limit_fail
donor	E	10	0.2078	TRUE	TRUE	0.1	144.36958614051971	FALSE	0.03849999999999988	5.558229066409992	355.55822906641	TRUE	1	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	0.04	limit_fail
donor	E	11	0.2464	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	E	12	0.1998	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	1	0.1619	TRUE	TRUE	0.1	185.2995676343422	TRUE	1	185.2995676343422	212.346087648767	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	F	2	0.1353	TRUE	TRUE	0.1	221.72949002217294	FALSE	0.714	158.31485587583148	508.3148558758315	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.71	transfer_volume_fail
donor	F	3	0.1576	TRUE	TRUE	0.1	190.35532994923858	FALSE	0.4725	89.94289340101523	439.9428934010152	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.47	transfer_volume_fail
donor	F	4	0.1682	TRUE	TRUE	0.1	178.35909631391203	FALSE	0.3289999999999999	58.68014268727704	408.68014268727705	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.33	transfer_volume_fail
donor	F	5	0.1943	TRUE	TRUE	0.1	154.4004117344313	FALSE	0.26716666666666655	41.25064333504888	391.2506433350489	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.27	transfer_volume_fail
