strain	row_ID	col_ID	OD	limit_check	format_check	target_OD	transfer_volume_required	transfer_max_volume_check	correction_factor_volume	transfer_volume	sum_of_volumes	total_volume_check	total_volume_correction_factor	mimimum_transfer_volume_check	total_volume_fail	mimimum_transfer_volume_fail	format_fail	limit_fail	transfer_volume_fail	correction_factor_combined	error_type
donor	G	10	0.17229999999999998	TRUE	TRUE	0.03125	54.41091120139293	TRUE	1	54.41091120139293	202.87454457045033	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	11	0.18009999999999998	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	G	12	0.1638	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	H	1	0.1342	TRUE	TRUE	0.5	1117.7347242921012	FALSE	0.3131333333333334	350	352.7334636104156	TRUE	1	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0.31	mimimum_transfer_volume_fail
donor	H	2	0.1268	TRUE	TRUE	0.25	591.4826498422713	FALSE	0.5917333333333333	350	355.3816589756929	TRUE	1	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0.59	mimimum_transfer_volume_fail
donor	H	3	0.12569999999999998	TRUE	TRUE	0.125	298.3293556085919	TRUE	1	298.3293556085919	337.5920994363659	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	H	4	0.13749999999999998	TRUE	TRUE	0.0625	136.36363636363637	TRUE	1	136.36363636363637	144.17287806430375	TRUE	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	1	mimimum_transfer_volume_fail
donor	H	5	0.1472	TRUE	TRUE	0.03125	63.68885869565217	TRUE	1	63.68885869565217	71.52248903373574	TRUE	1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	1	mimimum_transfer_volume_fail
donor	H	6	0.144	TRUE	TRUE	0.5	1041.6666666666667	FALSE	0.33599999999999997	350	374.0407028417533	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.34	transfer_volume_fail
donor	H	7	0.1389	TRUE	TRUE	0.25	539.9568034557235	FALSE	0.6482	350	418.81069792978076	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.65	transfer_volume_fail
donor	H	8	0.12489999999999998	TRUE	TRUE	0.125	300.240192153723	TRUE	1	300.240192153723	362.1087581853668	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	H	9	0.1221	TRUE	TRUE	0.0625	153.56265356265357	TRUE	1	153.56265356265357	264.13128731442004	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	H	10	0.1147	TRUE	TRUE	0.03125	81.73496076721884	TRUE	1	81.73496076721884	160.96916221027175	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	H	11	0.12339999999999998	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
donor	H	12	0.13979999999999998	TRUE	TRUE	0	0	TRUE	1	0	0	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
receiver	A	1	0.6919	TRUE	TRUE	0.5	216.7943344413933	FALSE	0.2235333333333333	48.46076022546611	398.4607602254661	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.22	transfer_volume_fail
receiver	A	2	0.8258	TRUE	TRUE	0.5	181.64204407846935	FALSE	0.5623333333333334	102.14337612012594	452.14337612012594	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.56	transfer_volume_fail
receiver	A	3	0.7878999999999999	TRUE	TRUE	0.5	190.3794897829674	TRUE	1	190.3794897829674	532.8452432076249	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
receiver	A	4	1.0422	TRUE	TRUE	0.5	143.92630972941853	TRUE	1	143.92630972941853	322.8385234698766	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
receiver	A	5	1.0548	TRUE	TRUE	0.5	142.2070534698521	TRUE	1	142.2070534698521	230.9854625607612	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
receiver	A	6	0.13779999999999998	TRUE	TRUE	0.5	1088.534107402032	FALSE	0.26716666666666666	290.82002902757625	640.8200290275763	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.27	transfer_volume_fail
receiver	A	7	0.13049999999999998	TRUE	TRUE	0.5	1149.425287356322	FALSE	0.30449999999999994	350	557.0489573889392	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.3	transfer_volume_fail
receiver	A	8	0.1416	TRUE	TRUE	0.5	1059.322033898305	FALSE	0.33039999999999997	350	451.8077239112572	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.33	transfer_volume_fail
receiver	A	9	0.1353	TRUE	TRUE	0.5	1108.6474501108646	FALSE	0.31570000000000004	350	393.3019385515728	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.32	transfer_volume_fail
receiver	A	10	0.1255	TRUE	TRUE	0.5	1195.219123505976	FALSE	0.29283333333333333	350	374.18777533039645	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.29	transfer_volume_fail
receiver	A	11	1.2149	TRUE	TRUE	0	0	FALSE	0.5874166666666666	0	350	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.59	transfer_volume_fail
receiver	A	12	1.1939	TRUE	TRUE	0	0	FALSE	0.6638333333333333	0	350	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.66	transfer_volume_fail
receiver	B	1	0.6784	TRUE	TRUE	0.3333333333333333	147.4056603773585	FALSE	0.2778999999999999	40.964033018867916	390.9640330188679	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.28	transfer_volume_fail
receiver	B	2	0.8503	TRUE	TRUE	0.3333333333333333	117.60555098200636	FALSE	0.4708666666666667	55.37653377239407	405.37653377239405	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.47	transfer_volume_fail
receiver	B	3	0.8108	TRUE	TRUE	0.3333333333333333	123.334977799704	TRUE	1	123.334977799704	444.39662163532046	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
receiver	B	4	0.9131	TRUE	TRUE	0.3333333333333333	109.51702989814916	TRUE	1	109.51702989814916	271.5740739776652	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
receiver	B	5	0.9928	TRUE	TRUE	0.3333333333333333	100.72522159548751	TRUE	1	100.72522159548751	178.5906701004709	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	correct
receiver	B	6	0.07869999999999999	TRUE	TRUE	0.3333333333333333	1270.6480304955528	FALSE	0.27545	350	674.0588235294117	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.28	transfer_volume_fail
receiver	B	7	0.12719999999999998	TRUE	TRUE	0.3333333333333333	786.1635220125787	FALSE	0.44519999999999993	350	596.602658788774	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.45	transfer_volume_fail
receiver	B	8	0.0784	TRUE	TRUE	0.3333333333333333	1275.5102040816328	FALSE	0.2744	350	426.0532150776053	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.27	transfer_volume_fail
receiver	B	9	0.0821	TRUE	TRUE	0.3333333333333333	1218.0267965895248	FALSE	0.28735000000000005	350	392.1911707126077	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.29	transfer_volume_fail
receiver	B	10	0.11159999999999998	TRUE	TRUE	0.3333333333333333	896.057347670251	FALSE	0.39059999999999995	350	378.47492223950235	TRUE	1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.39	transfer_volume_fail
