strain	row_ID	col_ID	OD	limit_check	format_check	target_OD
receiver	B	7	0.5851	TRUE	TRUE	0.25
receiver	B	8	0.5912999999999999	TRUE	TRUE	0.25
receiver	B	9	0.5363	TRUE	TRUE	0.25
receiver	B	10	0.4875999999999999	TRUE	TRUE	0.25
receiver	B	11	0.46209999999999996	TRUE	TRUE	0.25
receiver	B	12	0.4939	TRUE	TRUE	0.25
receiver	C	1	0.5530999999999999	TRUE	TRUE	0.25
receiver	C	2	0.5607	TRUE	TRUE	0.25
receiver	C	3	0.5942999999999999	TRUE	TRUE	0.25
receiver	C	4	0.6295	TRUE	TRUE	0.25
receiver	C	5	0.7001	TRUE	TRUE	0.25
receiver	C	6	0.6193	TRUE	TRUE	0.25
receiver	C	7	0.6334	TRUE	TRUE	0.25
receiver	C	8	0.5892	TRUE	TRUE	0.25
receiver	C	9	0.5431	TRUE	TRUE	0.25
receiver	C	10	0.5866	TRUE	TRUE	0.25
receiver	C	11	0.35729999999999995	TRUE	TRUE	0.25
receiver	C	12	0.5376	TRUE	TRUE	0.25
receiver	D	1	0.587	TRUE	TRUE	0.25
receiver	D	2	0.5932	TRUE	TRUE	0.25
receiver	D	3	0.6125999999999999	TRUE	TRUE	0.25
receiver	D	4	0.6835	TRUE	TRUE	0.25
receiver	D	5	0.5962999999999999	TRUE	TRUE	0.25
receiver	D	6	0.6409	TRUE	TRUE	0.25
receiver	D	7	0.6745	TRUE	TRUE	0.25
receiver	D	8	0.6205999999999999	TRUE	TRUE	0.25
receiver	D	9	0.6521	TRUE	TRUE	0.25
receiver	D	10	0.5817	TRUE	TRUE	0.25
receiver	D	11	0.41559999999999997	TRUE	TRUE	0.25
receiver	D	12	0.41890000000000005	TRUE	TRUE	0.25
receiver	E	1	0.5699	TRUE	TRUE	0.25
receiver	E	2	0.5862999999999999	TRUE	TRUE	0.25
receiver	E	3	0.6283	TRUE	TRUE	0.25
receiver	E	4	0.6647	TRUE	TRUE	0.25
receiver	E	5	0.5942	TRUE	TRUE	0.25
